"Create Date","Last Name","Company / Account","Entitlement Details"
"02/08/2021","Google Wen3 (LYW) (Zone 0 & 1) - YK-50611H-97859157 - L&M","SATO KOGYO (S) PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Shaft Seal Replacement(V) - 15000;Sensors and Transducers Replaceme(V) - 5000;Electronic Components Replacement(V) - 20000;Thrust Bearing Inspection(V) - 10000;Tube Replacement - Evaporator and(V) - 3000;Chemical Descaling(R) - 2000;Leak Check and Pressure Test(V) - 1000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(R) - 1000;Chiller End-Sheet Coating(R) - 1500;Starter Servicing(R) - 1000;Motor Revarnishing and Bearing Ch(V) - 35000;Compressor Overhaul(V) - 65000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","FLEXTRONICS MANUFACTURING (S) PTE LTD - YVAA-50531K768883943 - L&M","FLEXTRONICS MANUFACTURING (SINGAPOR PTE. LTD.","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;"
"02/08/2021","Bank of Tokyo Mitsubishi - YVAA-50531K-65398794 - L&M","MUFG BANK, LTD.","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;"
"02/08/2021","Google WEN2 - YK-50611H-85393417 - L&M","SATO KOGYO (S) PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Fine Tune Refrigerant Charge(V) - 2000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Equinix SG5 at Sunview DR - YK-SAHM473560 - L&M","EQUINIX SINGAPORE PTE PTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Shaft Seal Replacement(V) - 15000;Sensors and Transducers Replaceme(V) - 5000;Electronic Components Replacement(V) - 20000;Obsolete Control Panel Replacemen(V) - 20000;Tube Cleaning - Condensor(R) - 1500;Tube Cleaning - Evaporator(V) - 1500;Tube Replacement - Evaporator and(V) - 3000;Chemical Descaling(R) - 2000;Leak Check and Pressure Test(V) - 1000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Chiller End-Sheet Coating(R) - 1500;Starter Servicing(R) - 1000;Motor Revarnishing and Bearing Ch(V) - 35000;Compressor Overhaul(V) - 65000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Micron FAB10A - YK-50612F-05514199 - L&M","EXYTE SINGAPORE PTE. LTD.","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Shaft Seal Replacement(V) - 15000;Sensors and Transducers Replaceme(V) - 5000;Electronic Components Replacement(V) - 20000;Obsolete Control Panel Replacemen(V) - 20000;Tube Cleaning - Condensor(R) - 1500;Tube Cleaning - Evaporator(V) - 1500;Tube Replacement - Evaporator and(V) - 3000;Chemical Descaling(R) - 2000;Leak Check and Pressure Test(V) - 1000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Chiller End-Sheet Coating(R) - 1500;Starter Servicing(R) - 1000;Motor Revarnishing and Bearing Ch(V) - 35000;Compressor Overhaul(V) - 65000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Google WEN2 - YK-50611H-85393426 - L&M","SATO KOGYO (S) PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Fine Tune Refrigerant Charge(V) - 2000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","CRODA SINGAPORE - YLAA-50531H-85537692 - L&M","CRODA SINGAPORE PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(R) - 1000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;"
"02/08/2021","Google WEN2 - YK-50611H-85393425 - L&M","SATO KOGYO (S) PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Fine Tune Refrigerant Charge(V) - 2000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","CRODA SINGAPORE - YLAA-50531H-85537691 - L&M","CRODA SINGAPORE PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(R) - 1000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;"
